D-q401_soilTexture,D-q402_drainClass,D-q403_soilPerception,D-q409_varType,D-q421_seedSource,E-q5105_statSHC,E-q5101_FYM,E-q5104_applyMineralFert,G-q5301_irrigAvail,G-q5305_irrigTimes,I-q5502_droughtSeverity,I-q5505_weedSeverity,I-q5506_insectSeverity,I-q5507_insecticides,I-q5509_diseaseSeverity,I-q5510_pesticides,I-q5512_lodgingPercent,J-herbAppTimes,J-manualWeedTimes,L-cropDurationDays,L-q602_harvestMethod,L-q604_threshing,L-tonPerHectare,D-q410_varName,q415_seedingSowingTransDate,F-q5287_fertOnTime,A-q102_state
3,2,3,2,4,0,0,1,1,2,1,3,2,0,1,0,0,0,0,126,1,2,2.48,3,2,2,1
1,4,2,2,3,0,0,1,1,2,1,3,1,0,0,0,0,0,2,151,1,2,3.68,4,2,2,1
3,3,3,2,4,0,0,1,1,3,1,3,0,0,0,0,10,1,0,153,2,2,2.17,5,2,2,1
3,3,2,2,6,0,0,1,1,3,1,1,0,0,0,0,5,1,0,130,3,0,3.2,1,1,2,1
2,2,3,1,4,0,0,1,1,3,1,1,1,0,0,0,10,0,1,141,1,1,3.9,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,20,1,0,135,1,1,2.8,6,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,0,0,0,1,0,140,1,1,3.8,6,2,2,1
3,2,2,2,4,0,0,1,1,3,2,2,2,0,0,1,5,0,0,163,2,2,3.0,0,1,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,1,0,5,0,0,152,1,1,3.2,0,2,2,1
2,3,2,2,4,0,0,1,1,3,2,1,1,0,0,0,10,0,2,131,1,1,3.0,0,2,2,1
2,4,2,2,4,0,0,1,1,1,2,2,0,0,0,0,10,0,1,126,1,1,2.45,4,2,2,1
2,4,3,2,4,0,0,1,1,1,2,2,1,0,1,0,5,0,2,128,1,2,3.4,4,3,2,1
1,4,2,2,4,0,0,1,1,1,2,0,0,0,0,0,10,0,0,144,1,1,2.8,2,2,2,1
2,3,2,2,4,0,0,1,1,3,2,1,0,0,2,0,30,0,1,119,1,1,2.67,3,2,2,1
3,3,2,1,4,0,0,1,1,3,0,1,0,0,0,0,10,0,0,153,1,2,3.4,5,2,2,1
3,3,3,0,4,0,0,1,1,4,0,1,0,0,0,0,30,0,1,155,3,0,2.4,6,2,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,1,144,1,2,2.8,0,1,2,1
3,3,2,2,3,0,0,1,1,3,0,3,0,0,0,0,20,0,1,153,1,2,2.8,2,2,2,1
2,3,3,2,3,0,0,1,1,3,1,2,0,0,0,0,5,0,0,148,1,2,2.13,5,2,2,1
2,3,2,1,4,0,0,1,1,3,0,2,0,0,0,0,5,0,1,152,1,2,2.24,0,2,2,1
2,3,2,1,4,0,0,1,1,2,0,2,0,0,0,0,0,1,0,117,1,2,3.33,0,3,2,1
2,3,1,2,4,0,0,1,1,2,1,1,1,0,0,0,10,0,1,107,1,2,2.4,3,3,2,1
2,3,2,2,3,0,0,1,1,3,0,1,0,0,2,0,20,1,0,118,2,1,2.85,3,3,2,1
2,3,2,2,4,0,0,1,1,2,1,1,0,0,0,0,0,0,1,120,1,2,3.07,6,3,2,1
2,3,3,2,3,0,0,1,1,3,3,3,2,0,0,0,20,0,0,82,1,1,2.31,0,3,2,1
3,2,2,2,2,0,0,1,1,1,1,1,2,0,2,0,5,0,1,131,1,1,2.67,3,2,2,1
2,3,2,2,4,0,0,1,1,3,1,1,0,0,0,0,0,0,1,123,3,0,2.0,6,3,2,1
2,3,2,2,4,0,0,1,1,2,1,2,0,0,0,0,5,0,1,155,1,2,2.6,2,2,2,1
2,3,2,1,4,0,0,1,1,2,0,2,0,0,0,0,5,0,1,121,1,2,2.4,5,3,2,1
3,3,2,2,2,0,0,1,1,1,2,2,0,0,0,0,5,0,1,120,1,1,2.0,0,3,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,1,139,1,2,2.2,2,2,2,1
2,3,2,1,3,0,0,1,1,3,2,1,2,0,0,0,0,0,0,119,1,2,2.52,6,3,2,1
2,3,2,2,4,0,0,1,1,3,1,2,0,0,0,0,5,0,1,137,1,2,3.3,6,2,2,1
2,3,2,1,3,0,0,1,1,3,0,0,0,0,0,0,10,0,1,90,1,2,2.4,0,3,2,1
2,3,2,2,4,0,0,1,1,4,0,2,0,0,0,0,10,0,0,149,3,0,2.6,2,2,2,1
2,3,2,2,4,0,0,1,1,3,1,2,0,0,0,0,0,0,1,128,1,1,3.4,3,2,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,0,133,1,2,2.3,6,2,2,1
3,3,2,2,3,0,0,1,1,3,0,0,3,0,0,0,0,0,0,123,1,1,2.6,0,2,2,1
2,2,1,2,4,0,0,1,1,3,1,0,0,0,0,0,10,0,1,148,3,0,3.0,6,1,2,1
1,3,2,2,3,0,0,1,1,4,1,0,0,0,0,0,0,0,1,144,1,1,4.8,0,1,2,1
2,3,2,2,3,0,0,1,1,4,1,2,2,0,0,0,0,0,1,134,1,1,2.4,0,2,2,1
2,3,2,2,4,0,0,1,1,3,0,0,0,0,0,0,10,0,1,144,3,0,3.6,6,1,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,2,0,0,1,0,116,1,2,3.38,6,3,2,1
2,3,2,2,3,0,0,1,1,3,1,0,0,0,0,0,10,0,0,105,1,2,2.4,3,2,2,1
2,3,2,2,4,0,0,1,1,3,1,1,0,0,0,0,5,0,1,121,1,2,2.6,6,3,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,1,143,1,2,2.92,6,2,2,1
3,3,2,2,4,0,0,1,1,4,1,0,2,0,2,0,10,1,0,142,1,1,4.0,5,2,2,1
3,3,2,2,3,0,0,1,1,3,1,0,0,0,0,0,10,0,1,121,1,2,2.4,6,3,2,1
2,4,2,2,4,0,0,1,1,3,0,0,0,0,2,0,20,1,0,152,3,0,2.64,6,2,1,1
3,4,2,2,4,0,0,1,1,3,0,0,2,0,0,0,20,0,0,159,3,0,2.4,2,1,2,1
2,4,1,1,3,0,0,1,1,3,0,1,2,0,0,0,0,0,1,121,1,1,3.84,0,2,2,1
3,4,1,2,4,0,0,1,1,3,0,0,0,0,0,0,10,0,1,145,1,1,2.0,6,2,2,1
3,4,2,2,4,0,0,1,1,3,1,0,0,0,0,0,30,0,1,142,1,1,3.2,5,1,2,1
3,3,2,2,3,0,0,1,1,3,1,1,0,0,0,0,10,1,0,152,1,1,3.84,1,1,2,1
2,3,2,2,4,0,0,1,1,3,1,2,0,0,0,0,10,0,0,114,1,2,2.9,5,3,2,1
2,3,2,2,4,0,0,1,1,4,3,2,2,0,2,0,0,0,1,126,1,1,2.8,6,2,2,1
2,3,2,2,3,0,0,1,1,3,1,0,0,0,0,0,20,0,1,135,1,2,3.0,6,2,2,1
2,3,2,1,4,0,0,1,1,3,0,1,0,0,0,0,0,0,1,156,1,2,2.7,0,2,2,1
2,3,2,2,4,0,0,1,1,3,1,0,0,0,0,0,0,0,1,114,1,2,3.6,6,3,2,1
2,3,1,2,3,0,0,1,1,3,0,0,0,0,0,0,10,0,1,145,1,1,4.0,0,2,2,1
2,3,2,2,4,0,0,1,1,1,0,3,0,0,0,0,0,0,1,129,1,1,2.4,3,2,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,1,115,1,2,3.0,3,3,2,1
2,3,2,2,3,0,0,1,1,3,2,2,2,1,2,0,10,1,1,118,1,1,2.6,3,2,2,1
2,2,2,2,5,0,0,1,1,3,2,1,0,0,0,0,0,0,0,138,3,0,2.0,6,2,2,1
3,3,1,2,4,0,0,1,1,3,0,1,0,0,2,0,0,0,1,113,1,1,3.4,3,3,2,1
2,3,2,2,4,0,0,1,1,3,2,0,0,0,0,0,20,0,1,125,1,2,3.1,4,1,2,1
1,3,2,2,4,0,0,1,1,3,2,2,2,0,2,0,5,0,0,128,1,1,2.8,6,1,2,1
1,3,2,1,4,0,0,1,1,4,2,0,2,0,2,0,5,1,0,156,3,0,4.36,0,1,2,1
2,3,2,2,4,0,0,1,1,2,1,1,2,0,0,0,0,0,1,127,1,2,3.47,3,2,2,1
2,3,2,2,4,0,0,1,1,2,0,2,0,0,1,0,0,0,1,122,1,1,3.4,6,2,2,1
2,3,2,2,4,0,0,1,1,2,1,2,0,0,0,0,0,0,1,124,1,2,1.62,2,3,2,1
2,3,2,2,4,0,0,1,1,2,1,1,2,0,0,0,5,0,1,117,1,2,1.8,6,3,2,1
2,3,2,2,4,0,0,1,1,3,1,1,0,0,0,0,20,0,2,136,1,2,3.2,3,1,2,1
2,2,1,2,4,0,0,1,1,3,0,0,0,0,0,0,10,0,0,136,1,1,2.0,5,2,2,1
2,3,2,1,4,0,0,1,1,2,0,0,0,0,0,0,10,0,1,152,1,2,4.8,0,1,2,1
2,3,2,2,4,0,0,1,1,3,1,1,0,0,0,0,10,0,1,152,1,1,2.4,5,2,2,1
3,3,3,2,4,0,0,1,1,3,1,1,0,0,0,0,5,0,1,138,1,2,2.4,0,2,1,1
3,3,2,1,3,0,0,1,1,3,1,0,0,0,0,0,5,0,0,80,1,2,2.4,0,3,2,1
3,4,2,2,4,0,0,1,1,1,2,2,2,0,2,0,0,0,0,117,1,1,1.95,3,3,2,1
2,3,2,2,4,0,0,1,1,3,0,3,0,1,0,0,0,0,0,157,3,0,2.8,6,1,2,1
2,3,2,1,3,0,0,1,1,3,0,3,0,0,0,0,0,1,0,154,1,2,3.9,1,1,2,1
2,3,2,2,4,0,0,1,1,3,0,3,0,0,0,0,0,0,1,121,1,2,2.28,5,3,2,1
2,3,2,1,4,0,0,1,1,3,1,3,0,0,0,0,0,1,0,154,1,1,3.2,2,2,2,1
3,3,2,2,3,0,0,1,1,3,0,3,0,0,2,0,10,1,0,151,1,2,3.6,5,2,2,1
2,2,2,2,4,0,0,1,1,3,1,3,0,0,0,0,0,0,2,152,1,1,3.07,0,1,2,1
2,3,2,2,3,0,0,1,1,2,1,3,0,0,0,0,0,0,0,122,3,0,1.71,6,3,2,1
2,3,2,2,3,0,0,1,1,3,2,3,2,0,2,0,30,0,0,111,1,1,2.5,3,3,2,1
2,3,2,2,3,0,0,1,1,4,2,1,0,0,0,0,0,0,1,123,1,2,3.8,2,2,2,1
3,2,2,2,4,0,0,1,1,2,0,2,2,0,0,0,0,0,1,146,1,1,3.8,0,1,2,1
2,3,2,2,4,0,0,1,1,3,1,2,0,0,0,0,10,1,1,142,1,2,3.65,6,2,2,1
2,3,2,1,3,0,0,1,1,3,1,2,0,0,0,0,5,1,1,145,1,2,4.1,0,2,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,0,148,1,2,3.51,4,2,2,1
2,3,2,2,5,0,0,1,1,3,1,1,0,0,0,0,0,0,1,140,3,0,2.62,1,2,2,1
2,3,2,2,4,0,0,1,1,2,1,2,0,0,2,0,20,1,0,129,1,2,4.0,0,2,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,1,148,1,2,2.24,2,2,2,1
2,3,1,2,3,0,0,1,1,3,0,1,0,0,0,0,20,0,0,125,1,1,2.67,6,3,2,1
1,2,2,2,4,0,0,1,1,2,1,0,0,0,0,0,0,0,1,143,1,2,2.4,3,2,2,1
1,2,2,2,4,0,0,1,1,1,2,1,2,0,1,0,5,0,0,140,1,1,2.4,2,2,2,1
2,3,3,2,3,0,0,1,1,3,0,3,0,0,0,0,20,0,1,147,1,1,2.0,6,2,2,1
2,3,2,2,4,0,0,1,1,2,0,2,0,0,0,0,0,0,1,124,1,2,2.0,6,2,2,1
2,3,2,2,4,0,0,1,1,3,0,3,0,0,0,0,0,0,0,118,1,2,2.44,5,3,2,1
3,3,1,2,3,0,0,1,1,3,0,3,0,0,0,0,0,1,0,152,2,1,3.6,5,1,2,1
3,3,2,2,3,0,0,1,1,3,0,0,0,0,0,0,0,0,1,111,1,2,2.0,3,2,2,1
2,3,2,2,4,0,0,1,1,3,2,2,0,0,0,0,0,0,0,136,1,2,2.52,0,2,2,1
2,3,2,2,4,0,0,1,1,2,0,2,2,0,0,0,0,0,0,137,1,2,1.88,6,2,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,0,124,1,2,2.8,3,2,2,1
2,3,1,2,4,0,0,1,1,3,1,1,1,0,1,1,5,0,2,141,1,1,4.0,0,2,2,1
2,4,2,2,3,0,0,1,1,3,0,0,0,0,0,0,5,0,1,117,1,2,2.64,3,2,2,1
2,2,2,2,4,0,0,1,1,2,0,2,0,0,0,0,5,0,1,126,1,1,2.8,6,2,2,1
2,3,2,2,4,0,0,1,1,2,0,1,0,1,0,0,10,1,0,133,1,1,1.6,6,2,2,1
2,3,2,2,4,0,0,1,1,3,1,2,0,0,0,0,0,0,1,123,1,1,2.4,0,3,2,1
2,3,2,2,2,0,0,1,1,4,0,2,0,0,0,0,5,0,1,134,1,2,2.82,6,2,2,1
2,3,2,1,4,0,0,1,1,4,0,2,2,0,0,0,40,0,1,119,1,1,3.2,0,3,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,1,119,1,2,2.4,6,3,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,10,1,0,157,1,1,2.8,6,1,2,1
2,3,2,2,3,0,0,1,1,3,0,3,0,0,0,0,5,1,0,140,1,1,2.8,2,1,2,1
2,3,2,2,4,0,0,1,1,3,0,3,0,0,0,0,0,0,1,152,1,1,3.7,1,1,2,1
2,3,2,2,4,0,0,1,1,3,0,3,0,0,0,0,10,0,1,159,1,1,2.4,0,1,2,1
2,3,2,2,4,0,0,1,1,3,0,3,0,0,0,0,0,0,1,155,1,1,2.51,2,1,2,1
3,3,2,2,3,0,0,1,1,3,0,2,0,0,1,0,10,0,1,141,3,0,3.0,0,2,2,1
2,3,2,2,4,0,0,1,1,3,0,2,0,0,0,0,0,0,1,155,1,1,3.2,2,1,2,1
2,3,2,2,4,0,0,1,1,2,1,2,1,0,1,0,0,0,0,124,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,3,2,2,2,0,2,0,5,1,0,117,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,0,1,0,126,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,0,0,0,0,2,0,0,0,0,126,1,1,2.4,3,3,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,0,0,0,1,0,121,1,1,2.31,0,2,2,1
2,3,2,2,4,0,0,1,1,3,2,2,1,0,1,0,0,1,0,127,1,1,3.6,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,0,0,5,0,0,132,1,2,2.4,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,1,1,0,1,0,0,1,0,127,3,0,3.2,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,1,1,0,1,0,5,1,0,129,3,0,3.6,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,0,1,0,116,1,1,2.4,3,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,0,0,0,0,1,135,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,0,0,0,1,0,118,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,1,0,2,0,0,1,0,132,3,0,3.2,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,1,0,1,0,5,1,0,151,3,0,3.2,0,1,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,5,1,0,131,3,0,3.2,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,1,1,0,0,0,5,1,0,140,3,0,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,1,0,0,0,0,1,0,121,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,2,0,0,1,0,123,1,1,2.8,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,0,1,0,123,3,0,4.26,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,0,1,0,118,1,1,2.8,3,2,2,1
2,3,2,2,4,0,0,1,1,2,2,1,1,0,1,0,0,1,0,119,3,0,2.4,0,3,2,1
2,3,2,2,4,0,0,1,1,3,1,1,1,0,1,0,0,1,0,132,3,0,3.6,1,2,2,1
2,3,2,2,4,0,0,1,1,3,2,2,1,0,1,0,5,1,0,122,3,0,3.6,1,2,2,1
2,3,2,2,4,0,0,1,1,3,2,1,1,0,0,0,0,1,0,133,3,0,3.2,1,2,2,1
2,3,2,2,4,0,0,1,1,2,2,2,2,0,0,0,0,0,0,118,1,1,2.4,0,2,2,1
2,3,2,2,4,0,0,1,1,3,1,2,2,0,0,0,0,1,0,129,1,1,3.6,0,2,2,1
2,3,2,2,4,0,0,1,1,2,1,1,1,0,1,0,0,1,0,120,3,0,3.2,3,2,2,1
2,3,2,2,4,0,0,1,1,2,1,2,1,0,1,0,0,1,0,124,3,0,2.8,3,2,2,1
2,3,2,2,4,0,0,1,1,3,1,0,0,0,0,0,5,1,0,124,1,1,4.0,0,2,2,1
